id,lat,long,name,number
291,39.102099,-77.200322,Broschart & Blackwell Rd,32030
292,39.094103,-77.132954,Taft St & E Gude Dr,32031
293,39.076331,-77.141378,Fleet St & Ritchie Pkwy,32032
294,39.102212,-77.177091,Piccard & W Gude Dr,32033
295,38.992679,-77.029457,Ripley & Bonifant St,32034
296,38.999388,-77.031555,Georgia Ave & Spring St,32035
297,38.997033,-77.025608,Fenton St & Ellsworth Dr ,32036
298,39.114688,-77.171487,King Farm Blvd & Pleasant Dr,32037
299,39.110314,-77.182669,King Farm Blvd & Piccard Dr,32038
301,38.923583,-77.050046,Calvert St & Woodley Pl NW,31121
302,38.90706,-77.015231,New Jersey Ave & N St NW/Dunbar HS,31636
303,38.898536,-76.931862,Nannie Helen Burroughs Ave & 49th St NE,31710
304,38.908473,-76.933099,Deanwood Rec Center,31711
305,38.878433,-77.03023,Hains Point/Buckeye & Ohio Dr SW,31273
306,38.873755,-77.089233,Arlington Blvd & Fillmore St,31070
307,38.86646,-77.04826,Long Bridge Park/Long Bridge Dr & 6th St S,31071
308,38.999634,-77.109647,Old Georgetown Rd & Southwick St,32039
309,38.96115,-77.088659,Friendship Blvd & Willard Ave,32040
310,38.899703,-77.008911,North Capitol St & G Pl NE,31637
311,38.837666,-77.09482,31st & Woodrow St S,31072
312,38.873219,-77.082104,Washington Blvd & Walter Reed Dr ,31073
313,38.869418,-77.095596,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,31074
314,38.941154,-77.062036,Connecticut Ave & Tilden St NW,31313
315,39.103091,-77.196442,Medical Center Dr & Key West Ave,32041
316,39.097636,-77.196636,Shady Grove Hospital,32042
317,38.997445,-77.023894,Veterans Pl & Pershing Dr ,32043
318,39.085394,-77.145803,Rockville Metro East,32044
319,38.900358,-77.012108,1st & H St NW,31638
320,38.952369,-77.002721,Fort Totten Metro,31515
321,38.975219,-77.016855,Takoma Metro,31408
322,38.920682,-76.995876,Rhode Island Ave Metro,31516
323,38.866471,-77.076131,Rolfe St & 9th St S,31075
324,38.839912,-77.087083,Shirlington Transit Center / S Quincy & Randolph St,31076
325,39.119765,-77.166093,Shady Grove Metro West,32045
326,38.964992,-77.103381,River Rd & Landy Ln,32046
327,39.084379,-77.146866,Rockville Metro West,32047
328,38.984691,-77.094537,Bethesda Metro,32048
329,38.88992,-77.071301,Iwo Jima Memorial/N Meade & 14th St N,31077
330,38.903582,-77.067786,34th & Water St NW,31314
331,38.804378,-77.060866,Duke St & John Carlyle St,31081
332,38.894941,-77.09169,Lee Hwy & N Cleveland St,31079
333,38.869442,-77.104503,Arlington Blvd & S George Mason Dr/NFATC,31078
334,38.898404,-77.024281,MLK Library/9th & G St NW,31274
335,38.897612,-77.080851,Lee Hwy & N Scott St,31080
336,38.901755,-77.051084,New Hampshire Ave & 24th St NW,31275
337,38.801111,-77.068952,Eisenhower Ave & Mill Race Ln,31082
338,38.82175,-77.047494,Potomac Greens Dr & Slaters Ln,31083
339,38.802677,-77.063562,Ballenger Ave & Dulaney St,31084
340,38.820064,-77.057619,Mount Vernon Ave & E Nelson Ave,31085
341,38.82595,-77.058541,Mount Vernon Ave & E Del Ray Ave,31086
342,38.820932,-77.053096,Monroe Ave & Leslie Ave,31087
343,38.833077,-77.059821,Mount Vernon Ave & Kennedy St,31088
344,38.890612,-77.084801,Court House Metro / 15th & N Uhle St ,31089
345,38.986743,-77.000035,Washington Adventist U / Flower Ave & Division St,32049
346,38.864702,-77.048672,6th & S Ball St,31090
347,38.96497,-77.075946,McKinley St & Connecticut Ave NW,31315
348,38.90381,-77.034931,15th & L St NW,31276
349,38.89841,-77.039624,17th & G St NW,31277
350,38.997653,-77.034499,Spring St & Second Ave,32050
351,38.912648,-77.041834,18th & R St NW,31278
352,38.859254,-77.063275,S Joyce & 16th St S,31091
353,38.908008,-76.996985,Union Market/6th St & Neal Pl NE,31517
354,38.895929,-77.105246,N Nelson St & Lee Hwy,31092
355,38.898984,-77.078317,21st St N & N Pierce St,31093
356,38.895377,-77.09713,Lee Hwy & N Kirkwood Rd,31094
357,38.898412,-77.043182,19th & G St NW,31279
364,38.862467,-77.068242,Army Navy Dr & S Nash St,31095
367,38.913761,-77.027025,11th & S St NW,31280
